Acquired Medium google / others,C Ity,Reg at date,Uninstall Date,Usage Days (bin),User ID,Notification Dismiss,Notification Open,Notification Receive,Quiz Count,Session Count,Share Count,Uninstalled,Usage Time,Usertime,Video Count
Normal,,11/27/2018,2/27/2019,84,2259,26,,26,25,22,3,1,92,4775.34,17
Normal,,,10/6/2018,,2260,,,,0,2,,,,187.055,0
Normal,,,,,2261,124,2,128,0,6,,,,1158.027,4
Normal,,,,,2262,,,,6,,,,,125.753,10
Normal,,,11/1/2018,,2263,3,2,8,4,9,,,,4315.557,8
Normal,,1/19/2019,2/5/2019,0,2264,,,2,63,14,10,1,17,6719.139,21
Normal,,1/19/2019,1/25/2019,0,2265,,,,56,,,1,6,3512.784,17
Normal,,,10/16/2018,,2266,1,,2,0,1,,,,1045.084,4
Normal,,,10/7/2018,,2267,,,,0,1,,,,396.945,0
Normal,,,10/6/2018,,2268,,,,0,1,,,,166.441,0
Normal,,,10/7/2018,,2269,,,,0,,,,,750.143,0
Normal,,,1/6/2019,,2270,48,,64,4,6,,,,1491.694,7
Normal,,,,,2271,,,,1,1,,,,480.202,2
Normal,,11/22/2018,,,2272,2,,6,110,110,10,,,18351.944,99
Normal,Mumbai,2/25/2019,6/7/2019,84,2274,,,,7,19,1,1,102,5337.896,15
Normal,,,10/8/2018,,2275,,,,0,1,,,,307.253,0
Normal,Mumbai,11/28/2018,3/26/2019,112,2276,96,4,114,72,39,2,1,118,11725.776,36
Normal,,11/26/2018,,,2278,57,,62,33,31,6,,,7577.046,11
Normal,,12/30/2018,1/21/2019,0,2279,7,2,11,49,21,6,1,22,5670.57,17
Normal,,,,,2280,,,,0,1,,,,138.817,0
Normal,,,11/10/2018,,2282,,,,3,7,,,,1339.911,3
Normal,,,11/26/2018,,2283,21,,23,6,18,4,,,4038.153,12
Normal,,12/6/2018,1/29/2019,28,2284,,2,4,58,8,5,1,54,11757.027,20
Normal,Mumbai,12/10/2018,2/26/2019,56,2285,,,,33,8,,1,78,2609.844,8
Normal,Mumbai,11/23/2018,9/19/2019,281,2288,189,24,242,101,113,8,1,300,12879.044,47
Normal,,11/30/2018,,,2289,3,,3,11,17,4,,,4945.006,7
Normal,,,1/2/2019,,2290,58,,57,0,2,,,,380.881,2
Normal,,11/28/2018,9/26/2019,281,2291,140,33,223,64,82,,1,302,12150.714,0
Normal,Mumbai,1/27/2019,2/8/2019,0,2293,9,1,12,55,15,,1,12,4064.09,5
Normal,,11/22/2018,4/5/2019,112,2294,56,51,118,78,173,4,1,134,29986.358,45
Normal,,12/4/2018,1/12/2019,28,2295,5,3,19,73,227,14,1,39,23893.422,30
Normal,Mumbai,4/23/2019,6/15/2019,28,2296,34,1,60,4,4,,1,53,1238.617,5
